Step,EpsilonGreedy (epsilon=0),EpsilonGreedy (epsilon=0.01),EpsilonGreedy (epsilon=0.1)
0,8.02,7.93,7.58
20,167.88,159.48,108.64
40,327.98,298.08,159.23
60,488.04,423.49,191.29
80,647.87,539.64,215.22
100,807.92,647.05,235.27
120,967.69,744.19,252.56
140,1127.76,833.27,268.04
160,1287.40,914.47,282.23
180,1446.99,989.61,294.30
200,1607.15,1059.64,305.09
220,1767.07,1124.99,316.48
240,1926.82,1186.81,326.38
260,2086.64,1244.20,337.07
280,2246.73,1297.04,346.58
300,2406.57,1346.03,355.81
320,2566.59,1391.90,364.52
340,2726.63,1434.67,373.92
360,2886.49,1474.41,382.76
380,3046.23,1511.95,391.42
400,3205.78,1546.90,400.11
420,3365.83,1579.69,408.26
440,3526.13,1610.92,416.59
460,3686.13,1640.85,425.97
480,3845.80,1669.72,434.36
500,4006.16,1696.86,442.98
520,4166.04,1722.19,451.61
540,4325.91,1745.25,459.95
560,4486.11,1767.75,468.35
580,4645.98,1789.66,476.18
600,4805.69,1811.06,484.43
620,4965.60,1831.27,492.68
640,5125.56,1850.86,500.58
660,5285.58,1870.03,508.73
680,5445.51,1888.07,517.59
700,5605.76,1905.84,525.11
720,5766.12,1922.85,533.38
740,5925.83,1939.59,541.55
760,6086.21,1955.96,550.29
780,6246.27,1971.81,558.26
800,6406.28,1987.13,566.83
820,6566.26,2001.71,574.87
840,6726.12,2016.12,583.18
860,6885.70,2029.32,591.19
880,7045.31,2042.48,599.36
900,7205.13,2055.07,606.96
920,7365.06,2067.71,614.73
940,7524.90,2080.08,623.24
960,7684.66,2092.27,631.31
980,7844.51,2104.46,638.96
